,service_id,store_id,category,merchant_name,merchant_address,store_name,store_address,longitude,latitude,specific
1848,6206751151934350967,5530360891257805027,Mass Merchant,Thế Giới Giày Patin Bình Thạnh,"44 Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM",giaypatin8,MOMOZILA20181224,105.8005578,21.020623800000006,Mass Merchant
1852,1824675286297828983,8728804612483168181,Mass Merchant,VIVO COFFEE & TEA,"35B Trần Đình Xu, Phường Cầu Kho, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",vivocoffeeandtea1,MOMOXHLI20180724,105.833735,21.00766,Mass Merchant
1853,3925253927268147576,793766451503370943,Mass Merchant,Go Green Shop,"385A Cách Mạng Tháng Tám, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",gogreenshop123,MOMOHN9F20180717,106.703569,106.703569,Mass Merchant
1855,7162169384463203448,1007173768848530060,Coffee chains and Milk tea,Chewy - Vincom Q1,"TTTM Vincom Center Đồng Khởi, 72 Lê Thánh Tôn,",vincomq1,MOMOE7HZ20180416,105.856409,21.01975,Cafe
1878,7662962602693264504,2038434822275087547,Mass Merchant,CÔNG TY CỔ PHẦN ẨM THỰC CUỐN VIỆT,"134/1 CÁCH MẠNG THÁNG 8, Phường 10, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",CUỐN VÀ CHẤM,"93 BIS NGUYỄN ÁNH THỦ, Phường Đa Kao, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",,,Mass Merchant
1884,4496785069188293497,1820780391583556734,Coffee chains and Milk tea,Gongcha Bình Minh,"03 Lý Thường Kiệt, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương, VIỆT NAM",7921,MOMOWKFR20181220,105.8012803,21.0274603,Cafe
1888,79592222281026681,5416858617769778681,Mass Merchant,Bánh Mì Thổ Nhĩ Kì - Thành Thái,"7/27 Thành Thái, Phường 14, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",banhmithonhiki123,MOMOEBPE20180521,106.631312,10.843399,Mass Merchant
1890,5118073894352076666,6894633298831679673,Mass Merchant,MICHI SUSHI,"42/73 NGUYỄN HUỆ, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",michisushi123,MOMOR39H20180922,105.847106,21.036848000000006,Mass Merchant
1892,5035507415958505338,7666121133643019814,Mass Merchant,Cafe Muối,"12 Tông Đản, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Cafe Muối,"12 Tông Đản, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",105.8034146,21.0129866,Mass Merchant
1896,6861326911902337402,7292074286939663321,Mass Merchant,Sakura Sou Japan1,"4 Vũ Ngọc Phan, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",sakurasou1,MOMOCADR20181020,,,Mass Merchant
